'194', '55', '661', '5', '37', '79', '15', '98', '66', '85', '242', '120', '101', '173', '112', '59', '110', '63', '115', '107'
'205', '54', '659', '5', '38', '67', '12', '87', '61', '100', '235', '89', '101', '173', '111', '38', '142', '87', '116', '94'
'746', '0', '657', '86', '40', '84', '17', '59', '69', '94', '243', '85', '100', '173', '112', '1149', '145', '5', '115', '100'
'134', '0', '765', '63', '20', '75', '18', '87', '80', '122', '140', '78', '108', '84', '141', '4', '134', '5', '110', '95'
'208', '0', '764', '72', '24', '96', '18', '78', '82', '90', '197', '96', '119', '173', '133', '0', '139', '6', '114', '107'
'202', '54', '686', '72', '40', '74', '19', '63', '63', '97', '242', '61', '104', '173', '110', '27', '135', '5', '120', '5'
'197', '54', '659', '86', '33', '80', '18', '71', '70', '94', '245', '70', '104', '173', '123', '1149', '157', '6', '82', '77'
'195', '0', '764', '66', '22', '81', '14', '69', '79', '132', '199', '82', '127', '173', '145', '0', '194', '6', '135', '88'
'196', '73', '658', '5', '30', '85', '15', '83', '68', '129', '239', '102', '121', '130', '158', '1149', '199', '5', '137', '116'
'135', '0', '760', '72', '18', '81', '20', '107', '82', '90', '227', '100', '150', '59', '117', '5', '169', '61', '127', '100'
'202', '0', '734', '103', '24', '6', '17', '87', '74', '71', '200', '32', '93', '173', '114', '0', '130', '5', '110', '5'
'189', '0', '764', '82', '19', '84', '15', '95', '79', '95', '190', '98', '108', '128', '128', '56', '137', '5', '108', '91'
'197', '0', '22', '91', '18', '66', '20', '106', '84', '136', '128', '110', '115', '174', '121', '5', '158', '81', '109', '87'
'199', '0', '767', '100', '23', '95', '15', '96', '79', '97', '179', '99', '108', '114', '130', '4', '144', '99', '110', '89'
'192', '0', '658', '69', '22', '69', '15', '110', '72', '90', '218', '85', '79', '174', '98', '0', '103', '72', '88', '78'
'194', '91', '660', '83', '29', '93', '17', '80', '70', '82', '237', '114', '84', '174', '155', '0', '106', '74', '88', '84'
'150', '0', '40', '97', '19', '105', '32', '106', '84', '89', '123', '17', '193', '59', '120', '60', '172', '80', '141', '75'
'194', '0', '660', '5', '33', '105', '15', '75', '68', '97', '247', '91', '130', '174', '156', '1149', '194', '93', '148', '101'
'160', '0', '679', '81', '17', '111', '15', '89', '75', '120', '96', '174', '86', '175', '122', '4', '174', '5', '82', '84'
'195', '0', '762', '5', '20', '105', '20', '96', '77', '103', '188', '78', '83', '159', '124', '62', '178', '5', '80', '79'
'180', '0', '762', '92', '23', '96', '20', '79', '77', '108', '85', '56', '85', '60', '137', '27', '183', '96', '91', '76'
'189', '55', '675', '5', '32', '6', '15', '109', '65', '136', '120', '134', '132', '174', '195', '1149', '209', '4', '137', '97'
