'221', '1149', '272', '1149', '270', '0', '246', '87', '115', '5', '71', '5', '48', '1149', '90', '0', '87', '150', '124', '5'
'28', '0', '87', '4', '70', '5', '76', '5', '110', '5', '222', '5', '220', '5', '125', '5', '130', '1149', '184', '5'
'81', '0', '54', '4', '65', '5', '72', '141', '105', '174', '219', '5', '217', '3', '101', '6', '99', '0', '222', '6'
'10279', '0', '55', '6', '58', '5', '68', '5', '100', '5', '218', '176', '221', '5', '137', '5', '134', '1149', '198', '5'
'76', '0', '59', '86', '57', '5', '64', '5', '78', '5', '217', '119', '220', '3', '156', '5', '127', '1149', '202', '4'
'72', '0', '75', '5', '68', '5', '70', '90', '102', '5', '217', '5', '221', '4', '148', '176', '119', '0', '236', '5'
'94', '0', '45', '5', '56', '5', '68', '5', '101', '118', '217', '5', '222', '5', '138', '0', '150', '0', '240', '84'
'112', '0', '45', '5', '54', '5', '71', '5', '100', '4', '216', '5', '222', '5', '126', '5', '105', '0', '202', '5'
'78', '0', '53', '5', '56', '5', '67', '5', '94', '122', '216', '174', '222', '5', '133', '4', '121', '1149', '187', '75'
'797', '0', '42', '5', '56', '4', '69', '4', '98', '5', '218', '117', '222', '4', '144', '5', '106', '1149', '171', '90'
'72', '0', '49', '5', '61', '5', '72', '4', '101', '119', '217', '167', '218', '5', '95', '0', '97', '0', '233', '5'
'79', '0', '52', '5', '55', '5', '68', '5', '87', '106', '216', '119', '222', '5', '145', '5', '136', '1149', '227', '5'
'799', '0', '48', '5', '61', '104', '71', '5', '106', '104', '217', '7', '218', '5', '106', '1149', '148', '0', '172', '4'
'77', '0', '57', '81', '57', '5', '69', '4', '83', '139', '217', '103', '221', '4', '127', '1149', '160', '1149', '176', '4'
'78', '0', '76', '5', '71', '5', '78', '5', '222', '5', '219', '5', '220', '6', '111', '0', '110', '1149', '182', '66'
'85', '0', '61', '4', '59', '5', '60', '5', '78', '5', '218', '5', '220', '121', '163', '5', '121', '1149', '191', '5'
'71', '0', '65', '4', '65', '5', '69', '4', '99', '5', '219', '5', '222', '121', '144', '5', '119', '0', '240', '5'
'809', '0', '52', '6', '55', '5', '60', '5', '81', '5', '219', '4', '219', '3', '191', '5', '137', '1149', '216', '4'
'66', '0', '55', '99', '55', '5', '60', '5', '78', '171', '216', '108', '222', '5', '126', '5', '109', '1149', '174', '68'
'65', '0', '44', '5', '62', '5', '72', '177', '219', '179', '216', '136', '177', '5', '101', '137', '101', '1149', '178', '6'
'77', '0', '49', '6', '57', '5', '68', '5', '100', '5', '215', '107', '220', '144', '140', '5', '130', '0', '238', '5'
'1', '0', '48', '5', '55', '5', '66', '5', '91', '5', '216', '4', '220', '57', '160', '177', '133', '0', '238', '6'
'60', '0', '76', '1149', '64', '5', '65', '5', '76', '5', '218', '168', '221', '6', '205', '5', '140', '0', '246', '6'
'89', '0', '51', '6', '60', '5', '72', '5', '101', '176', '217', '103', '222', '5', '119', '1149', '151', '0', '219', '87'
'779', '0', '40', '5', '59', '4', '71', '102', '102', '140', '216', '130', '219', '5', '109', '5', '113', '0', '233', '6'
'85', '0', '72', '4', '63', '5', '63', '5', '76', '4', '221', '156', '218', '4', '220', '0', '179', '1149', '201', '74'
