'722', '0', '37', '111', '19', '171', '73', '173', '250', '37', '107', '174', '127', '173', '102', '59', '150', '96', '107', '173'
'778', '0', '38', '75', '18', '163', '34', '83', '83', '93', '201', '95', '198', '95', '122', '65', '162', '94', '107', '113'
'781', '54', '748', '80', '24', '94', '19', '94', '76', '93', '253', '94', '104', '173', '183', '4', '236', '5', '109', '106'
'70', '0', '42', '77', '22', '174', '80', '156', '209', '174', '232', '5', '106', '37', '95', '5', '138', '63', '235', '106'
'670', '0', '32', '82', '20', '173', '28', '172', '82', '168', '234', '83', '193', '147', '120', '4', '162', '83', '200', '106'
'780', '0', '43', '130', '15', '174', '60', '168', '115', '80', '199', '19', '162', '47', '121', '56', '167', '89', '167', '173'
'773', '0', '32', '159', '17', '134', '62', '173', '118', '107', '241', '174', '140', '94', '112', '58', '159', '83', '236', '130'
'776', '0', '34', '117', '13', '111', '62', '168', '117', '104', '240', '173', '154', '113', '120', '56', '178', '73', '239', '174'
'764', '0', '34', '80', '17', '141', '60', '108', '100', '139', '240', '9', '162', '50', '124', '5', '175', '64', '235', '173'
'785', '0', '28', '73', '14', '103', '42', '125', '100', '171', '240', '87', '159', '59', '119', '61', '166', '64', '236', '93'
'784', '0', '669', '63', '15', '135', '27', '86', '79', '109', '207', '170', '205', '170', '121', '59', '177', '66', '238', '118'
'772', '73', '668', '6', '20', '164', '19', '174', '77', '121', '204', '83', '223', '174', '124', '1149', '162', '5', '236', '100'
'777', '0', '32', '146', '17', '173', '68', '118', '192', '146', '239', '126', '144', '59', '114', '5', '158', '70', '235', '139'
'769', '0', '28', '83', '14', '174', '58', '165', '113', '173', '241', '174', '154', '127', '118', '5', '172', '5', '236', '95'
'5', '0', '32', '113', '12', '173', '50', '118', '98', '143', '238', '31', '175', '59', '120', '61', '174', '5', '237', '152'
'776', '0', '25', '111', '13', '79', '58', '174', '110', '174', '241', '174', '147', '56', '106', '0', '173', '76', '237', '173'
'787', '0', '27', '71', '14', '131', '55', '145', '100', '112', '241', '173', '161', '154', '120', '4', '168', '74', '213', '98'
'760', '0', '33', '29', '15', '101', '47', '147', '99', '144', '161', '64', '158', '59', '120', '4', '167', '40', '191', '117'
