'105', '0', '125', '1149', '110', '5', '186', '5', '125', '5', '226', '5', '105', '5', '71', '0', '119', '5', '169', '5'
'87', '0', '84', '5', '69', '5', '71', '5', '90', '5', '218', '5', '117', '5', '171', '5', '126', '1149', '185', '4'
'71', '0', '57', '78', '66', '5', '73', '5', '101', '107', '132', '5', '116', '5', '136', '5', '125', '0', '192', '5'
'80', '0', '53', '5', '61', '5', '72', '5', '97', '82', '150', '5', '115', '4', '132', '0', '160', '1149', '183', '5'
'59', '0', '55', '6', '52', '4', '60', '5', '78', '87', '219', '5', '115', '5', '162', '0', '124', '1149', '186', '4'
'76', '0', '65', '5', '59', '5', '63', '86', '76', '85', '216', '97', '117', '5', '97', '5', '125', '1149', '155', '5'
'62', '0', '62', '5', '55', '5', '60', '5', '74', '5', '216', '5', '114', '5', '143', '0', '156', '0', '148', '118'
'78', '0', '54', '80', '59', '5', '69', '5', '97', '4', '211', '5', '117', '6', '153', '6', '123', '0', '161', '5'
'83', '0', '63', '5', '59', '5', '66', '5', '75', '5', '217', '5', '116', '6', '134', '6', '160', '1149', '202', '5'
'67', '0', '79', '4', '67', '5', '63', '5', '76', '5', '215', '5', '116', '6', '112', '5', '141', '1149', '216', '5'
'77', '0', '59', '6', '66', '5', '72', '105', '216', '4', '116', '5', '113', '5', '125', '5', '105', '0', '129', '6'
'80', '0', '52', '5', '60', '5', '67', '125', '99', '123', '212', '103', '79', '177', '127', '5', '124', '0', '244', '85'
'76', '0', '57', '5', '63', '5', '63', '5', '76', '5', '214', '5', '79', '5', '212', '5', '150', '0', '238', '6'
'76', '0', '65', '4', '60', '5', '68', '5', '78', '5', '213', '5', '77', '70', '202', '0', '123', '0', '245', '6'
'80', '0', '52', '5', '57', '5', '67', '71', '99', '5', '211', '5', '79', '6', '152', '5', '123', '0', '238', '63'
'80', '0', '56', '6', '57', '5', '68', '4', '99', '5', '213', '5', '73', '45', '169', '104', '130', '0', '242', '6'
'71', '0', '49', '5', '60', '72', '71', '69', '103', '5', '212', '5', '80', '4', '138', '1149', '115', '1149', '187', '4'
'74', '0', '64', '78', '60', '5', '67', '5', '77', '5', '217', '5', '73', '5', '196', '5', '147', '0', '203', '6'
'78', '0', '53', '6', '58', '5', '66', '5', '79', '102', '215', '154', '73', '5', '162', '177', '137', '1149', '223', '5'
'81', '0', '66', '5', '59', '5', '65', '5', '79', '5', '219', '71', '76', '5', '210', '5', '156', '1149', '237', '5'
'96', '0', '71', '5', '61', '5', '66', '4', '77', '5', '219', '5', '75', '121', '214', '59', '143', '0', '226', '5'
'75', '0', '60', '102', '63', '94', '69', '5', '94', '88', '218', '4', '77', '4', '152', '0', '132', '0', '147', '5'
'80', '0', '54', '81', '58', '5', '69', '5', '101', '71', '217', '102', '79', '1149', '126', '0', '112', '0', '236', '97'
'889', '0', '150', '5', '148', '5', '153', '4', '172', '5', '317', '5', '175', '4', '293', '5', '232', '0', '197', '83'
'198', '0', '145', '5', '153', '109', '161', '5', '190', '5', '311', '87', '173', '5', '240', '5', '216', '1149', '273', '5'
'173', '0', '171', '1149', '160', '6', '165', '5', '174', '5', '311', '5', '173', '5', '277', '5', '222', '0', '336', '5'
'137', '0', '156', '4', '150', '5', '159', '5', '170', '5', '313', '4', '186', '4', '301', '5', '244', '1149', '322', '5'
'172', '0', '157', '89', '152', '4', '161', '5', '190', '5', '312', '5', '181', '4', '281', '0', '223', '0', '290', '4'
'174', '0', '155', '58', '151', '5', '160', '5', '177', '5', '310', '5', '170', '5', '208', '5', '221', '0', '199', '74'
'178', '0', '166', '6', '159', '5', '163', '5', '178', '4', '319', '5', '171', '6', '281', '5', '229', '0', '292', '5'
'163', '0', '167', '5', '155', '5', '164', '4', '181', '5', '315', '5', '171', '5', '256', '5', '222', '0', '286', '6'
'146', '0', '174', '4', '157', '5', '161', '5', '172', '5', '315', '4', '179', '3', '163', '5', '254', '1149', '235', '5'
'1', '0', '150', '67', '152', '5', '162', '5', '177', '5', '313', '5', '180', '4', '281', '4', '221', '1149', '288', '5'
