'158', '1149', '167', '0', '262', '5', '142', '93', '184', '89', '78', '173', '61', '1149', '90', '5', '111', '88', '128', '96'
'786', '0', '44', '84', '19', '128', '54', '5', '84', '96', '200', '87', '191', '173', '135', '0', '188', '5', '134', '72'
'787', '72', '681', '5', '28', '67', '18', '88', '72', '118', '251', '82', '121', '174', '157', '0', '146', '94', '125', '102'
'783', '0', '44', '87', '20', '102', '24', '94', '76', '133', '201', '145', '125', '174', '145', '5', '153', '6', '126', '88'
'781', '54', '669', '5', '23', '69', '18', '5', '73', '118', '244', '115', '110', '174', '124', '42', '118', '69', '110', '92'
'777', '55', '37', '72', '19', '69', '20', '65', '73', '95', '246', '86', '92', '176', '95', '5', '118', '56', '113', '109'
'796', '0', '42', '79', '15', '54', '45', '103', '87', '174', '134', '113', '90', '59', '119', '5', '160', '81', '103', '85'
'759', '0', '676', '5', '32', '84', '19', '90', '75', '85', '254', '92', '99', '174', '95', '10', '132', '4', '109', '83'
'785', '0', '40', '79', '17', '70', '39', '70', '79', '81', '214', '74', '88', '154', '129', '6', '129', '5', '104', '85'
'773', '54', '674', '5', '23', '87', '15', '73', '76', '93', '248', '103', '87', '173', '94', '0', '108', '63', '106', '76'
'790', '54', '678', '29', '23', '85', '18', '73', '71', '120', '250', '69', '83', '174', '185', '5', '242', '73', '93', '78'
'769', '0', '30', '69', '24', '57', '19', '113', '71', '86', '205', '87', '225', '174', '146', '1149', '192', '5', '242', '66'
'797', '0', '43', '72', '18', '106', '20', '72', '77', '118', '200', '93', '222', '174', '119', '0', '181', '5', '240', '114'
'787', '0', '45', '70', '17', '104', '19', '101', '79', '100', '220', '173', '184', '108', '117', '0', '196', '4', '234', '84'
'780', '54', '673', '5', '28', '65', '15', '71', '65', '93', '249', '90', '224', '172', '180', '10', '226', '5', '238', '5'
